iter	Passed	Remaining
0	22	2241
1	23	1155
2	24	790
3	25	605
4	26	495
5	26	422
6	27	368
7	28	327
8	29	297
9	30	273
10	31	252
11	31	234
12	32	219
13	33	207
14	34	196
15	35	187
16	36	178
17	37	170
18	38	164
19	39	157
20	40	151
21	41	145
22	41	139
23	42	134
24	43	130
25	44	125
26	45	122
27	46	119
28	47	115
29	47	111
30	48	108
31	49	105
32	50	102
33	51	99
34	52	97
35	53	94
36	54	92
37	55	90
38	56	87
39	56	85
40	57	83
41	59	81
42	59	79
43	60	77
44	61	75
45	62	73
46	63	71
47	64	69
48	64	67
49	65	65
50	66	63
51	67	62
52	68	60
53	69	58
54	69	57
55	70	55
56	71	54
57	72	52
58	73	50
59	74	49
60	74	47
61	75	46
62	77	45
63	78	43
64	79	42
65	79	41
66	80	39
67	81	38
68	82	36
69	83	35
70	84	34
71	85	33
72	86	31
73	86	30
74	87	29
75	88	28
76	89	26
77	90	25
78	91	24
79	94	23
80	95	22
81	96	21
82	97	19
83	98	18
84	98	17
85	99	16
86	100	15
87	101	13
88	102	12
89	103	11
90	104	10
91	105	9
92	106	8
93	107	6
94	108	5
95	109	4
96	110	3
97	110	2
98	112	1
99	112	0
